Stock_code ,Description
Test001,This is a test product.
Test002,This is a test product.
S,Samples
PADS,PADS TO MATCH ALL CUSHIONS
Post,Postage
M,Manual
Gift_0001_90,Dotcomgiftshop Gift Voucher £90.00
Gift_0001_80,Dotcomgiftshop Gift Voucher £80.00
Gift_0001_70,Dotcomgiftshop Gift Voucher £70.00
Gift_0001_60,Dotcomgiftshop Gift Voucher £60.00
Gift_0001_50,Dotcomgiftshop Gift Voucher £50.00
Gift_0001_40,Dotcomgiftshop Gift Voucher £40.00
Gift_0001_30,Dotcomgiftshop Gift Voucher £30.00
Gift_0001_20,Dotcomgiftshop Gift Voucher £20.00
Gift_0001_10,Dotcomgiftshop Gift Voucher £10.00
Gift,
DOT,Dot postage
D,Discount
CRUK,CRUK COMMISSION
C2,Carriage
C3,
BANK CHARGES,
B,Adjust bad debt
AMAZONFEE,
ADJUST2,
ADJUST,
